true_dd,lm_fitted_dd,rf_fitted_dd,region
48,171.1407377407795,72.14280919398455,Europe
56,158.62868740357226,67.05364884811613,Europe
264.4,296.261241112853,302.6481958365052,Eastern Mediterranean
43.6,159.59115281412687,69.43213378286687,Western Pacific
43.6,152.8538949402464,66.30866357179949,Africa
179.4,263.5374171540034,170.16804265980417,South-East Asia
43.6,160.07238551940372,68.29866022161332,Eastern Mediterranean
264.4,274.60576937537917,226.02679552082128,America
234.4,862.6721352241229,717.8893937397663,Eastern Mediterranean
234.4,839.0917326655399,360.448124506372,Europe
98,189.42758054131355,154.06754965710988,Europe
141.8,228.88866237404454,175.96785157558284,Eastern Mediterranean
234.4,456.51173197016215,296.19731637937355,South-East Asia
234.4,381.4394299469186,279.7124019793289,Europe
264.4,267.8685115014978,208.42882069285216,America
54.8,165.2166979861986,86.49405671568111,Eastern Mediterranean
144.6,193.12819489227604,163.85734676610585,America
183.2,226.81448426168026,188.81319315672155,America
1,154.62957847009966,77.68298326201682,Europe
516.6,303.81171710603303,466.16218485684146,Africa
640.4,496.7860319221927,306.2088834490823,Eastern Mediterranean
185,251.35735223081792,179.77383710055557,Africa
640.4,765.3138814668728,497.67016344908217,Western Pacific
60,175.32258479701977,92.03485036425654,Europe
39,161.8480690492579,79.63682800218167,Europe
516.6,298.03692464270716,424.7271965915897,Eastern Mediterranean
54.8,163.29176716508937,86.41092136921688,Western Pacific
37.4,156.5545092912089,77.19380356504713,Africa
275.8,272.05035855773804,210.80290815049733,South-East Asia
54.8,164.73546528092083,85.64786355041497,Eastern Mediterranean
275.8,281.67501266328145,222.28507481762452,America
817,889.9531521336685,869.2244076665455,Eastern Mediterranean
640.4,839.9049507848395,496.7425312142337,Europe
114,193.6094275975529,161.43488962324872,Europe
146.8,236.4391383672246,190.3667474424359,Eastern Mediterranean
640.4,452.9938557419664,782.5547770850083,South-East Asia
705,384.1775788873265,611.476783360955,Europe
275.8,274.4565220841241,221.6530792548539,America
56.4,169.39854504243795,80.13366152657343,Eastern Mediterranean
3,197.79127465379315,144.03846248633886,America
114.8,231.47756402319737,165.44826848003325,America
8,158.33019282106216,71.9840539610848,Europe
585.6,309.9184949833816,505.0296583182366,Africa
641.2,507.70513685231253,309.16800545567423,Eastern Mediterranean
113.8,257.4641301081665,121.31578557318937,Africa
623.8,769.4957285231121,495.752560376309,Western Pacific
57.6,179.50443185325912,90.06909113714782,Europe
41,165.5486834002204,72.78136490524012,Europe
288.6,304.14370252005574,444.36470077604656,Eastern Mediterranean
56.4,166.99238151605186,78.30978670329552,Western Pacific
45.6,160.25512364217138,71.37011997840081,Africa
188.6,278.1571364350866,146.4241715299482,South-East Asia
0,168.43607963188333,76.18399280196465,Eastern Mediterranean
29,287.3005578353532,163.58080292754994,America
0,911.4593765798882,820.6637155684621,Eastern Mediterranean
572.2,839.7557034935844,486.44414101122976,Europe
123,197.3100419485154,146.2012320101484,Europe
103.6,242.0646835392963,167.06342674843154,Eastern Mediterranean
641.2,460.0630990298696,761.0039766175837,South-East Asia
784.2,386.4344951224575,605.6223335095809,Europe
51,280.5632999614727,161.2478737748464,America
48.2,179.83641726728092,71.45479697398271,Eastern Mediterranean
129,202.45435441531026,88.03760190676428,America
134,236.62187648999134,170.28173473861375,America
5,162.03080717202465,47.16562801445227,Europe
597,316.50650556600795,488.76419671319,Africa
0,514.2931474349389,189.0306648587403,Eastern Mediterranean
106.2,264.5333733960697,99.70900166630707,Africa
91,774.6400409899061,222.03003351674903,Western Pacific
42.4,183.68627890949938,82.06616962851768,Europe
46,169.2492977511829,49.46152979267406,Europe
290,309.76924769212656,422.80103671749873,Eastern Mediterranean
0,170.69299586701436,50.658532173626384,Western Pacific
7.2,163.95573799313388,46.95921498414925,Africa
186,288.5950086599296,146.22871773013804,South-East Asia
0,170.69299586701436,50.658532173626384,Eastern Mediterranean
22,292.9261030074249,141.0286655732753,America
1,918.0473871625136,537.8655013482983,Eastern Mediterranean
394.4,847.3061794867644,263.51573986975677,Europe
128,201.49188900475565,88.3085295258119,Europe
0,249.61515953247635,162.24426775448674,Eastern Mediterranean
45,467.1323423177728,495.48387148211697,South-East Asia
478.2,381.95415348370716,423.01460742894795,Europe
49,286.67007783882127,146.9608443968047,America
55.8,184.49949702879803,78.64486919650867,Eastern Mediterranean
153.8,207.11743417682646,123.30207199885254,America
154,241.28495625150845,151.42065239083223,America
4,165.73142152298715,48.202793998529295,Europe
305.6,322.6132834433556,438.6249178196015,Africa
333,524.7310196597819,240.67555941273582,Eastern Mediterranean
75,270.64015127341827,113.24586827801696,Africa
112,778.8218880461463,287.4428217936881,Western Pacific
62.2,187.38689326046187,83.10976545913493,Europe
43,172.9499121021454,44.7340076139461,Europe
305.6,315.3947928641983,391.0242005533592,Eastern Mediterranean
48.2,174.8748429232537,44.63786434718443,Western Pacific
31.2,168.13758504937323,47.151385730131,Africa
217.6,295.183019242555,124.80082991307148,South-East Asia
0,174.39361021797686,44.68002942448846,Eastern Mediterranean
217.6,298.5516481794957,130.1256685277901,America
0,937.628680787624,450.75296873201376,Eastern Mediterranean
527.2,847.6381649007863,302.4107099600811,Europe
137,205.673736060995,89.06959049236798,Europe
75,255.72193740982493,132.7344251181049,Eastern Mediterranean
63,473.7203529003982,445.878602746069,South-East Asia
514.8,383.2486043082836,484.8213170547915,Europe
62,292.77685571616894,133.2034820893266,America
57,188.6813440850383,78.26723723155348,Eastern Mediterranean
159.8,211.29928123306672,133.7286094889934,America
135,245.4668033077478,174.3703686220309,America
19,169.43203587394964,37.31247258691976,Europe
